"","...5","...6","...7","Total_Reading","DateTime"
"1",1,1,0,365613.209,2023-01-01 00:00:00
"2",1,1,1,356770.526,2023-01-01 01:00:00
"3",1,1,2,324872.608,2023-01-01 02:00:00
"4",1,1,3,302018.88,2023-01-01 03:00:00
"5",1,1,4,268653.566,2023-01-01 04:00:00
"6",1,1,5,256267.714,2023-01-01 05:00:00
"7",1,1,6,245678.994,2023-01-01 06:00:00
"8",1,1,7,253785.407,2023-01-01 07:00:00
"9",1,1,8,299539.487,2023-01-01 08:00:00
"10",1,1,9,358387.427,2023-01-01 09:00:00
"11",1,1,10,421617.503,2023-01-01 10:00:00
"12",1,1,11,458184.847,2023-01-01 11:00:00
"13",1,1,12,481018.134,2023-01-01 12:00:00
"14",1,1,13,482061.783,2023-01-01 13:00:00
"15",1,1,14,480806.306,2023-01-01 14:00:00
"16",1,1,15,467731.22,2023-01-01 15:00:00
"17",1,1,16,507268.838,2023-01-01 16:00:00
"18",1,1,17,583679.835,2023-01-01 17:00:00
"19",1,1,18,563262.094,2023-01-01 18:00:00
"20",1,1,19,499990.535,2023-01-01 19:00:00
"21",1,1,20,459460.829,2023-01-01 20:00:00
"22",1,1,21,422409.706,2023-01-01 21:00:00
"23",1,1,22,380537.201,2023-01-01 22:00:00
"24",1,1,23,335578.191,2023-01-01 23:00:00
"25",1,2,0,294556.524,2023-01-02 00:00:00
"26",1,2,1,273718.549,2023-01-02 01:00:00
"27",1,2,2,252412.654,2023-01-02 02:00:00
"28",1,2,3,237336.049,2023-01-02 03:00:00
"29",1,2,4,228585.595,2023-01-02 04:00:00
"30",1,2,5,234661.09,2023-01-02 05:00:00
"31",1,2,6,261022.018,2023-01-02 06:00:00
"32",1,2,7,300002.462,2023-01-02 07:00:00
"33",1,2,8,329557.115,2023-01-02 08:00:00
"34",1,2,9,357489.673,2023-01-02 09:00:00
"35",1,2,10,378025.341,2023-01-02 10:00:00
"36",1,2,11,374655.414,2023-01-02 11:00:00
"37",1,2,12,388453.5,2023-01-02 12:00:00
"38",1,2,13,393023.485,2023-01-02 13:00:00
"39",1,2,14,398034.215,2023-01-02 14:00:00
"40",1,2,15,419289.321,2023-01-02 15:00:00
"41",1,2,16,489424.95,2023-01-02 16:00:00
"42",1,2,17,612317.489,2023-01-02 17:00:00
"43",1,2,18,591451.615,2023-01-02 18:00:00
"44",1,2,19,518554.752,2023-01-02 19:00:00
"45",1,2,20,463875.636,2023-01-02 20:00:00
"46",1,2,21,433261.546,2023-01-02 21:00:00
"47",1,2,22,393917.696,2023-01-02 22:00:00
"48",1,2,23,349212.571,2023-01-02 23:00:00
"49",1,3,0,323159.327,2023-01-03 00:00:00
"50",1,3,1,320874.951,2023-01-03 01:00:00
"51",1,3,2,303745.323,2023-01-03 02:00:00
"52",1,3,3,285716.009,2023-01-03 03:00:00
"53",1,3,4,265031.326,2023-01-03 04:00:00
"54",1,3,5,263373.795,2023-01-03 05:00:00
"55",1,3,6,298257.659,2023-01-03 06:00:00
"56",1,3,7,334903.295,2023-01-03 07:00:00
"57",1,3,8,333875.964,2023-01-03 08:00:00
"58",1,3,9,333146.61,2023-01-03 09:00:00
"59",1,3,10,330138.386,2023-01-03 10:00:00
"60",1,3,11,328863.687,2023-01-03 11:00:00
"61",1,3,12,330045.36,2023-01-03 12:00:00
"62",1,3,13,326329.068,2023-01-03 13:00:00
"63",1,3,14,329837.032,2023-01-03 14:00:00
"64",1,3,15,353530.411,2023-01-03 15:00:00
"65",1,3,16,447454.272,2023-01-03 16:00:00
"66",1,3,17,583940.711,2023-01-03 17:00:00
"67",1,3,18,575884.521,2023-01-03 18:00:00
"68",1,3,19,500901.083,2023-01-03 19:00:00
"69",1,3,20,454642.503,2023-01-03 20:00:00
"70",1,3,21,432271.231,2023-01-03 21:00:00
"71",1,3,22,388629.457,2023-01-03 22:00:00
"72",1,3,23,349251.635,2023-01-03 23:00:00
"73",1,4,0,330117.373,2023-01-04 00:00:00
"74",1,4,1,325228.933,2023-01-04 01:00:00
"75",1,4,2,334376.953,2023-01-04 02:00:00
"76",1,4,3,321718.86,2023-01-04 03:00:00
"77",1,4,4,300433.765,2023-01-04 04:00:00
"78",1,4,5,299150.364,2023-01-04 05:00:00
"79",1,4,6,342521.82,2023-01-04 06:00:00
"80",1,4,7,380799.614,2023-01-04 07:00:00
"81",1,4,8,372375.453,2023-01-04 08:00:00
"82",1,4,9,373174.328,2023-01-04 09:00:00
"83",1,4,10,378995.842,2023-01-04 10:00:00
"84",1,4,11,389179.143,2023-01-04 11:00:00
"85",1,4,12,388361.921,2023-01-04 12:00:00
"86",1,4,13,377749.645,2023-01-04 13:00:00
"87",1,4,14,386631.747,2023-01-04 14:00:00
"88",1,4,15,419477.686,2023-01-04 15:00:00
"89",1,4,16,493415.399,2023-01-04 16:00:00
"90",1,4,17,615476,2023-01-04 17:00:00
"91",1,4,18,604452.295,2023-01-04 18:00:00
"92",1,4,19,540370.193,2023-01-04 19:00:00
