"","Report 1","...4","...5","Total_Reading","DateTime"
"1","1","1","0",338.532,2023-01-01 00:00:00
"2","1","1","1",770.517,2023-01-01 01:00:00
"3","1","1","2",1207.153,2023-01-01 02:00:00
"4","1","1","3",1344.163,2023-01-01 03:00:00
"5","1","1","4",1360.206,2023-01-01 04:00:00
"6","1","1","5",1469.538,2023-01-01 05:00:00
"7","1","1","6",1444.63,2023-01-01 06:00:00
"8","1","1","7",1415.26,2023-01-01 07:00:00
"9","1","1","8",1225.691,2023-01-01 08:00:00
"10","1","1","9",1313.429,2023-01-01 09:00:00
"11","1","1","10",2197.969,2023-01-01 10:00:00
"12","1","1","11",3843.863,2023-01-01 11:00:00
"13","1","1","12",4613.274,2023-01-01 12:00:00
"14","1","1","13",3986.053,2023-01-01 13:00:00
"15","1","1","14",2176.191,2023-01-01 14:00:00
"16","1","1","15",1235.089,2023-01-01 15:00:00
"17","1","1","16",839.639,2023-01-01 16:00:00
"18","1","1","17",766.633,2023-01-01 17:00:00
"19","1","1","18",640.761,2023-01-01 18:00:00
"20","1","1","19",573.531,2023-01-01 19:00:00
"21","1","1","20",632.628,2023-01-01 20:00:00
"22","1","1","21",510.395,2023-01-01 21:00:00
"23","1","1","22",401.041,2023-01-01 22:00:00
"24","1","1","23",300.475,2023-01-01 23:00:00
"25","1","2","0",225.734,2023-01-02 00:00:00
"26","1","2","1",194.336,2023-01-02 01:00:00
"27","1","2","2",129.55,2023-01-02 02:00:00
"28","1","2","3",134.278,2023-01-02 03:00:00
"29","1","2","4",113.311,2023-01-02 04:00:00
"30","1","2","5",91.986,2023-01-02 05:00:00
"31","1","2","6",105.691,2023-01-02 06:00:00
"32","1","2","7",119.842,2023-01-02 07:00:00
"33","1","2","8",209.262,2023-01-02 08:00:00
"34","1","2","9",260.301,2023-01-02 09:00:00
"35","1","2","10",436.804,2023-01-02 10:00:00
"36","1","2","11",632.319,2023-01-02 11:00:00
"37","1","2","12",644.29,2023-01-02 12:00:00
