"","Report 1","...4","...5","Total_Reading","DateTime"
"1","1","1","0",216.702,2024-01-01 00:00:00
"2","1","1","1",174.748,2024-01-01 01:00:00
"3","1","1","2",157.911,2024-01-01 02:00:00
"4","1","1","3",218.241,2024-01-01 03:00:00
"5","1","1","4",248.612,2024-01-01 04:00:00
"6","1","1","5",257.989,2024-01-01 05:00:00
"7","1","1","6",290.847,2024-01-01 06:00:00
"8","1","1","7",232.071,2024-01-01 07:00:00
"9","1","1","8",211.996,2024-01-01 08:00:00
"10","1","1","9",284.705,2024-01-01 09:00:00
"11","1","1","10",699.922,2024-01-01 10:00:00
"12","1","1","11",1274.429,2024-01-01 11:00:00
"13","1","1","12",1114.035,2024-01-01 12:00:00
"14","1","1","13",821.241,2024-01-01 13:00:00
"15","1","1","14",305.839,2024-01-01 14:00:00
"16","1","1","15",129.365,2024-01-01 15:00:00
"17","1","1","16",155.762,2024-01-01 16:00:00
"18","1","1","17",282.282,2024-01-01 17:00:00
"19","1","1","18",256.702,2024-01-01 18:00:00
"20","1","1","19",212.856,2024-01-01 19:00:00
"21","1","1","20",240.588,2024-01-01 20:00:00
"22","1","1","21",164.925,2024-01-01 21:00:00
"23","1","1","22",228.854,2024-01-01 22:00:00
"24","1","1","23",222.73,2024-01-01 23:00:00
"25","1","2","0",203.237,2024-01-02 00:00:00
"26","1","2","1",196.455,2024-01-02 01:00:00
"27","1","2","2",233.684,2024-01-02 02:00:00
"28","1","2","3",312.542,2024-01-02 03:00:00
"29","1","2","4",400.374,2024-01-02 04:00:00
"30","1","2","5",502.292,2024-01-02 05:00:00
"31","1","2","6",617.052,2024-01-02 06:00:00
"32","1","2","7",610.681,2024-01-02 07:00:00
"33","1","2","8",772.134,2024-01-02 08:00:00
"34","1","2","9",998.095,2024-01-02 09:00:00
"35","1","2","10",1455.901,2024-01-02 10:00:00
"36","1","2","11",1921.561,2024-01-02 11:00:00
"37","1","2","12",3406.469,2024-01-02 12:00:00
"38","1","2","13",2192.16,2024-01-02 13:00:00
"39","1","2","14",1498.732,2024-01-02 14:00:00
"40","1","2","15",1420.098,2024-01-02 15:00:00
"41","1","2","16",1439.618,2024-01-02 16:00:00
"42","1","2","17",1635.691,2024-01-02 17:00:00
"43","1","2","18",1630.361,2024-01-02 18:00:00
"44","1","2","19",1555.489,2024-01-02 19:00:00
"45","1","2","20",1558.06,2024-01-02 20:00:00
"46","1","2","21",1573.036,2024-01-02 21:00:00
"47","1","2","22",1581.878,2024-01-02 22:00:00
"48","1","2","23",1583.372,2024-01-02 23:00:00
"49","1","3","0",1587.178,2024-01-03 00:00:00
"50","1","3","1",1600.012,2024-01-03 01:00:00
"51","1","3","2",1595.574,2024-01-03 02:00:00
