"","Report 1","...4","...5","Total_Reading","DateTime"
"1","1","1","0",1318.743,2024-01-01 00:00:00
"2","1","1","1",1085.665,2024-01-01 01:00:00
"3","1","1","2",950.535,2024-01-01 02:00:00
"4","1","1","3",932.026,2024-01-01 03:00:00
"5","1","1","4",820.339,2024-01-01 04:00:00
"6","1","1","5",775.094,2024-01-01 05:00:00
"7","1","1","6",827.226,2024-01-01 06:00:00
"8","1","1","7",955.837,2024-01-01 07:00:00
"9","1","1","8",1025.383,2024-01-01 08:00:00
"10","1","1","9",1155.141,2024-01-01 09:00:00
"11","1","1","10",1421.396,2024-01-01 10:00:00
"12","1","1","11",1999.575,2024-01-01 11:00:00
"13","1","1","12",2136.668,2024-01-01 12:00:00
"14","1","1","13",1846.271,2024-01-01 13:00:00
"15","1","1","14",1404.045,2024-01-01 14:00:00
"16","1","1","15",1304.681,2024-01-01 15:00:00
"17","1","1","16",1377.287,2024-01-01 16:00:00
"18","1","1","17",1525.171,2024-01-01 17:00:00
"19","1","1","18",1572.663,2024-01-01 18:00:00
"20","1","1","19",1572.242,2024-01-01 19:00:00
"21","1","1","20",1626.83,2024-01-01 20:00:00
"22","1","1","21",1658.685,2024-01-01 21:00:00
"23","1","1","22",1640.826,2024-01-01 22:00:00
"24","1","1","23",1658.048,2024-01-01 23:00:00
"25","1","2","0",1743.919,2024-01-02 00:00:00
"26","1","2","1",1690.386,2024-01-02 01:00:00
"27","1","2","2",1620.255,2024-01-02 02:00:00
"28","1","2","3",1587.964,2024-01-02 03:00:00
"29","1","2","4",1631.353,2024-01-02 04:00:00
"30","1","2","5",1902.833,2024-01-02 05:00:00
"31","1","2","6",2226.609,2024-01-02 06:00:00
"32","1","2","7",2462.094,2024-01-02 07:00:00
"33","1","2","8",2695.523,2024-01-02 08:00:00
"34","1","2","9",2986.395,2024-01-02 09:00:00
"35","1","2","10",3516.698,2024-01-02 10:00:00
"36","1","2","11",4223.333,2024-01-02 11:00:00
"37","1","2","12",4275.616,2024-01-02 12:00:00
"38","1","2","13",4019.094,2024-01-02 13:00:00
"39","1","2","14",3736.965,2024-01-02 14:00:00
"40","1","2","15",3701.367,2024-01-02 15:00:00
"41","1","2","16",3745.691,2024-01-02 16:00:00
"42","1","2","17",3838.777,2024-01-02 17:00:00
"43","1","2","18",3844.948,2024-01-02 18:00:00
"44","1","2","19",3952.827,2024-01-02 19:00:00
"45","1","2","20",3994.603,2024-01-02 20:00:00
"46","1","2","21",4014.633,2024-01-02 21:00:00
"47","1","2","22",4030.325,2024-01-02 22:00:00
"48","1","2","23",4091.67,2024-01-02 23:00:00
"49","1","3","0",4165.461,2024-01-03 00:00:00
"50","1","3","1",4225.04,2024-01-03 01:00:00
"51","1","3","2",4232.123,2024-01-03 02:00:00
"52","1","3","3",4235.838,2024-01-03 03:00:00
"53","1","3","4",4201.45,2024-01-03 04:00:00
"54","1","3","5",4167.077,2024-01-03 05:00:00
"55","1","3","6",4118.632,2024-01-03 06:00:00
"56","1","3","7",4380.508,2024-01-03 07:00:00
"57","1","3","8",4083.032,2024-01-03 08:00:00
"58","1","3","9",3952.235,2024-01-03 09:00:00
"59","1","3","10",4168.684,2024-01-03 10:00:00
"60","1","3","11",4570.785,2024-01-03 11:00:00
"61","1","3","12",4628.332,2024-01-03 12:00:00
"62","1","3","13",4218.02,2024-01-03 13:00:00
"63","1","3","14",3781.113,2024-01-03 14:00:00
"64","1","3","15",3414.459,2024-01-03 15:00:00
"65","1","3","16",3309.67,2024-01-03 16:00:00
"66","1","3","17",3298.851,2024-01-03 17:00:00
"67","1","3","18",3295.195,2024-01-03 18:00:00
"68","1","3","19",3293.855,2024-01-03 19:00:00
"69","1","3","20",3286.089,2024-01-03 20:00:00
"70","1","3","21",3272.908,2024-01-03 21:00:00
"71","1","3","22",3275.497,2024-01-03 22:00:00
"72","1","3","23",3309.762,2024-01-03 23:00:00
"73","1","4","0",3314.731,2024-01-04 00:00:00
"74","1","4","1",3281.528,2024-01-04 01:00:00
"75","1","4","2",3201.788,2024-01-04 02:00:00
"76","1","4","3",3137.623,2024-01-04 03:00:00
"77","1","4","4",3009.873,2024-01-04 04:00:00
"78","1","4","5",2788.028,2024-01-04 05:00:00
"79","1","4","6",2548.06,2024-01-04 06:00:00
"80","1","4","7",2329.212,2024-01-04 07:00:00
"81","1","4","8",2138.363,2024-01-04 08:00:00
"82","1","4","9",1980.72,2024-01-04 09:00:00
"83","1","4","10",2326.586,2024-01-04 10:00:00
"84","1","4","11",3163.281,2024-01-04 11:00:00
"85","1","4","12",4457.629,2024-01-04 12:00:00
"86","1","4","13",4741.128,2024-01-04 13:00:00
"87","1","4","14",2789.996,2024-01-04 14:00:00
"88","1","4","15",1063.897,2024-01-04 15:00:00
"89","1","4","16",720.881,2024-01-04 16:00:00
"90","1","4","17",754.409,2024-01-04 17:00:00
"91","1","4","18",704.691,2024-01-04 18:00:00
"92","1","4","19",594.547,2024-01-04 19:00:00
"93","1","4","20",509.635,2024-01-04 20:00:00
"94","1","4","21",514.767,2024-01-04 21:00:00
"95","1","4","22",576.257,2024-01-04 22:00:00
"96","1","4","23",701.678,2024-01-04 23:00:00
"97","1","5","0",748.644,2024-01-05 00:00:00
"98","1","5","1",797.869,2024-01-05 01:00:00
"99","1","5","2",875.334,2024-01-05 02:00:00
"100","1","5","3",1055.174,2024-01-05 03:00:00
"101","1","5","4",1249.449,2024-01-05 04:00:00
"102","1","5","5",1327.093,2024-01-05 05:00:00
"103","1","5","6",1437.633,2024-01-05 06:00:00
"104","1","5","7",1598.071,2024-01-05 07:00:00
"105","1","5","8",1675.732,2024-01-05 08:00:00
